,ZIP Code,Yoga Studio
0,90028,Set and Flow
1,90036,Modo Yoga LA - La Brea
2,90034,Red Diamond Yoga
3,90029,One Down Dog
4,90039,The Raven Spa
5,90019,Liberation Yoga
6,90012,Sanctuary Fitness - DTLA Arts District
7,90021,LA Boulders
8,90019,Evolve Dance Studio
9,90013,Yoga Circle Downtown
10,90027,Siesta Yoga
11,90048,Psycho
12,90004,dr pilates
13,90039,Rise Hot Yoga
14,90039,Heartbeat House
15,90028,Wanderlust Hollywood
16,90028,Sweatheory
17,90015,Peace Yoga Gallery
18,90038,Urban 728 Yoga
19,90026,Modo Yoga LA - East
20,91401,Wellborn Lifestyles & Doula Services
21,90018,Radha Yoga
22,90042,Namaste Highland Park
23,90039,Silverlake Yoga
24,90026,Yogala Echo Park
25,90013,The Main Barre
26,90094,Sweat Yoga
27,90008,Dee Dussault - Ganja Yoga & Sex Coaching
28,90012,Sweat Yoga Little Tokyo
29,90012,Bikram Yoga
30,90014,Evoke Yoga
31,90027,Yoga Vibe
32,90041,One Down Dog
33,90021,The Bridge Mind Body Movement
34,90027,"Zen Wellness: Dr. Bobbi Jones, DC & Dr. Mary Ames Brown, DC"
35,90017,Houston Heller- LMT
36,90026,The Sweat Spot
37,90045,Yoga Bliss - Westchester
38,90066,Garth Hewitt
39,90065,EVERYBODY
40,90048,Jun Chong Tae Kwon Do
41,90048,AIR Aerial Fitness
42,90035,Doula Mellie
43,90010,D&A Flying Yoga
44,90025,Soul Pump Fitness
45,90066,MOMS AT OM
46,91602,Marti Maley
47,90043,Crenshaw Yoga & Dance
48,90210,BACH
49,90065,Claire Thompson
50,90027,CrossFit Mindset
51,90005,Hot 8 Yoga
52,90026,Echo Park Boxing
53,90047,The Tree South LA
54,90039,Still Yoga
55,90026,Samarasa Center
56,90039,Fitmix Studio Atwater Village
57,90019,Chloe Massage Spa
58,90035,Yoga West
59,90035,Nicole Doherty
60,90069,Nine Treasures Yoga
61,90036,H2yOga
62,90211,Hot 8 Yoga
63,90232,Cliffs of Id
64,90291,Miss Mermaid
65,90066,Light on Lotus Yoga
66,90013,LaLaLå! Jivamukti Yoga Los Angeles
67,90016,Vrkira Yoga
68,90041,Mockingbird Yoga
69,90041,The Cycling Pigeon
70,90026,One Down Dog
71,90046,Moon Yogi Holistic Healing
72,90038,Aeriform Arts
73,90069,Yoga by Rony
74,90046,The Barboza Method
75,90027,Hiking Yoga
76,90019,Balance Work Yoga and Massage
77,90046,Brick Los Angeles
78,90039,Atwater Kundalini Yoga
79,90013,The Mystic Rebel Healing Collective
80,90035,Iyengar Yoga Institute of Los Angeles
81,90064,Yoga Shala West
82,90064,Pilates Essence
83,,Jess Bishop - Private Yoga Instruction
84,90232,Veda Yoga Center
85,90211,Namastday Yoga
86,90065,Self Realization Fellowship
87,90046,Runyon Canyon Yoga
88,90232,SoulPlay Yoga
89,91604,YogiNest
90,90012,Sultan Yoga
91,90041,Madre Fitness + Wellness
92,90232,Ma Yoga Culver City - WMN Space
93,90015,Fit2fly Mobile Personal Training
94,90069,AuraYoga
95,91203,Sync Yoga + Cycle
96,90230,Evolution Physical Therapy
97,90046,Black Market Yoga
98,90232,Zooga Yoga For Kids - Culver City
99,90016,Dharma Yoga L.A.
100,90069,Zooga Yoga - West Hollywood
101,90005,YogaWorks Koreatown
102,90041,Pardon My Heart LA
103,90034,Denise Beaudoin Yoga
104,90036,dr pilates
105,90069,Playlist Yoga
106,90042,Golden State Yoga
107,91607,Golden Monkey Healing
108,90010,I Love Pilates
109,90065,Healing With Chona
110,90293,Kasey Kilmer Fitness
111,90210,Anahata Holistic Healing
112,90004,ROAM Yoga
113,90068,Divojananda Spiritual Healer
114,90007,Art of Living Foundation
115,90025,Laura Myren Yoga
116,91604,Electric Soul Yoga
117,91604,Up Flying Yoga
118,91203,Bella Fitness
119,90046,Yoga Vibe - West Hollywood
120,91011,Infinite Presence - Kundalini Yoga & Holistic Healing
121,90066,Dr. Grace PT
122,90045,LiveYoga Wellness
123,91020,Spiritual Heart Yoga Center
124,91356,OM Lotus
125,90630,Prenatal Education Center
126,90048,SWERVE Studio
127,90043,Thrive Health Lab
128,90027,Jory Integrative Medicine
129,90036,Alo Yoga
130,90069,PureBodyGuru
131,90048,Cuccio Yoga Somatology
132,90019,Heal One World
133,90001,The Travel Yogi
134,90001,Lily Rose Healing
135,90004,Pia Yoga Fitness
136,90069,Awakened Warrior Yoga Teacher Training
137,90069,Creating Yourself
138,90031,Christopher Filkins
139,90210,Scarlett Tantrika
140,90019,Christina Huntington Meditation
141,90036,Seetal Cheema Wellness - Medical Acupuncture
142,90046,Crunch Fitness - Los Angeles
143,90034,Movement By Susy
144,90007,Art of Living Studio
145,90066,Pacha Fitness
146,90019,Vidalia Om
147,90405,Alice Maples Coaching
148,90017,CorePower Yoga
149,90232,Shanti Hot Yoga
150,90095,UCLA Mindful Awareness Research Center
151,90041,Marlee Jackson Acupuncture
152,90028,Ancient Light Curative
153,90232,Omkar 108 Yoga
154,90065,The Stillness
155,,Colibri Yoga Retreats
156,90028,LA Fitness
157,90004,YogaWorks - Larchmont
158,90010,A Serpent's Lair
159,,Dana Kraft Yoga
160,91602,The Yogi Tree Center for Growth
161,91210,Mary Rita Yoga
162,90211,Shorty Yoga
163,90046,Nathalie Fino - Private Yoga Classes
164,90211,Eon Wellness Center
165,90065,The Herb Nerd
166,90066,The Moving Joint
167,90041,Caroline Cardino Yoga & Bodywork
168,90017,Onika Keleny Fitness
169,90066,Yoga Salt
170,90018,Sivananda Yoga Vedanta Center
171,90068,LA Fitness
172,90210,Alo Yoga
173,90048,Oraya
174,90028,CorePower Yoga
175,90814,Grace and Gratitude Life
176,90025,Lotus Physical Therapy
177,90034,re:YOGA Therapy + Wellness
178,91604,The DEN Meditation
179,90036,Gil Correa Personal Trainer
180,91602,Shaolin American Self Defense Academy
181,90036,Get INtuit Yoga
182,90019,Yoga Doula Cassie
183,90004,Thai Yoga Massage by Sasha
184,90028,LA Fitness
185,90026,Angelic Presence Healing with Atasiea
186,90069,Rise Movement
187,91423,Pilates On Demand
188,90292,Divine Self Love
189,91604,Root 2 Rise Yoga
190,90064,Palms Park
191,90034,Kundalini Yoga & Meditation
192,90010,Together Yoga
193,90230,Spirit Fi
194,90211,Ma Yoga Beverly Hills - BHCMG
195,90045,HOMTOWN Yoga
196,90048,Brandi Fitness
197,90064,"Kim Hollingdale, LMFT - Movemental"
198,90034,Zen Acupuncture & Herbology
199,91423,YAYA YOGA - It's a kids yoga adventure!
200,90027,Lotus Lindley
201,90046,Y7 Studio West Hollywood
202,90039,CHI - Create Heal Inspire
203,90064,Re+active Physical Therapy & Wellness
204,90011,Pack Your Mat
205,90025,Dasi Healing
206,90029,Y7 Studio Silver Lake
207,90028,Michelle Corp Private Yoga
208,90292,Pure Light Wellness
209,90026,Angel City Zen Center
210,90035,LA Fitness
211,91201,Hello Critter Goat Yoga
212,90094,YogaWorks Playa Vista
213,90039,Sol Integrative
214,90041,Sound Baths With Jamie Ford
215,90065,Evolve Yoga Sacred Healing and Creative Arts
216,90016,iELevateME
217,90046,Erin Haynes Yoga
218,90027,Bien Etre Studio
219,90066,PRENATAL BARRE YOGA
220,90292,Yoga of Touch With Marci Javril
221,90064,Satori Bay
222,91101,Breakthru Fitness
223,90089,CorePower Yoga
224,90024,YogaWorks Westwood
225,90066,Toni Pasion
226,90005,Body & Brain Yoga Tai Chi - Wilshire
227,90046,Devon Young Yoga
228,90403,Manuela Schoepfer
229,90064,Daily Therapy
230,90036,Cassie Cherney Yoga
231,90036,Mary Shore Yoga Center
232,90039,Lauren Finerman Holistic Wellness & Yoga
233,90069,The Chad Allen Method
234,91106,Conscious Compassion
235,91506,Body & Brain Yoga Tai Chi - Burbank
236,90012,Fire Hot Yoga and Ice Cryotherapy
237,91604,Studio City Martial Arts
238,90291,One Infinity Healing
239,90066,Anahata Conscious Living
240,91423,Julia Carpenter Yoga & Reiki
241,90046,Life Yoga Garden
242,90026,Passion 4 Health & Wellness
243,90039,Healing Rae
244,90046,YogaWorks West Hollywood
245,90036,LA Fitness
246,91316,East Inspirations
247,91107,Awareness Center
248,90027,Ashtanga Yoga Nilayam
249,90046,Stellayoga
250,90026,Hypnotherapy with Thea Pueschel
251,90026,Laura Riley - Private Yoga Instruction
252,90038,Alex Diehl - Private Yoga Instructor
253,90028,YogaWorks Los Feliz
254,91423,Wellborn Lifestyles
255,90028,Moksha Marga - Yogi Shyamasundara
256,90057,Laura VanDenBergh
257,90017,LA Fitness
258,90026,"Caitlin Dee, CMT"
259,91601,Rooted Rasa
260,91789,Jupiter Soundscape
261,90211,Brightly Balanced With Andrea
262,90057,New Moon Movement
263,91423,Clean Prana
264,90001,Jason Gorenstein Integrative Wellness
265,90290,Wholly Welcome
266,90027,Busy Bee Wellness
267,90013,MOSA Yoga and Massage
268,90069,Leo Zen Yoga - Yoga on the Sunset Strip
269,90803,Go Inward
270,90068,101 Dance Center
271,90036,Dancing Shiva Yoga & Ayurveda
272,91505,A1 Pilates
273,,Tara Thomas Yoga
274,90066,The Gym Venice
275,91602,Shosha Yoga
276,90020,Toe Toe Ballet
277,90065,Seishin Karate Dojo
278,90046,H.E.A.L. Spiritual Center
279,90066,Kristin Epley Active Care
280,91505,Yoga Galactica
281,91602,Light Leaders Yoga
282,90036,Private Yoga West Hollywood
283,90069,Purefit Wellness LA
284,90291,YogaMusic
285,91604,Soulful Healing
286,90057,Kali Punk Yoga
287,90290,Marcia Paige Hamelin
288,90068,Unstoppable Greatness
289,90019,Rainbeau Mars Lifestyles
290,10016,Atma Yoga Teacher Training
291,91423,Studio C Pilates & Fitness
292,90069,Zen Casa
293,90004,Larchmont Meditate
294,90013,Los Angeles Parks n Recreation
295,90212,LA Fitness
296,90027,Yoga With Ayumi
297,90046,Hollywood Fitness International
298,90405,Awakening Mother
299,90014,Harakati Studios
300,91606,Juicy Yoga Noho
301,90036,Indigo Lab
302,90275,The Push Partner
303,91423,Yoga With Racquel
304,91204,LA Fitness
305,91604,EsoTerra Fitness & Healing
306,90028,Opurea
307,90803,Alana Weinberg
308,90028,The Aetherius Society
309,90048,Hyperslow Studio
310,90036,Candygyrls Fitness
311,90069,Cotrone Pilates
312,91423,CorePower Yoga
313,90038,Melvin Ramsey Yoga Instructor
314,90014,Blue Lite Yoga
315,90068,CorePower Yoga
316,90035,Two Snake Studios
317,90039,M Pilates and Yoga
318,90046,Yoga with Juliette
319,91301,Womanhood
320,90064,Choose To Move LA
321,91107,Heare
322,90211,Spy Fitness
323,90041,Body Synergy Physical Therapy & Wellness
324,90045,Malan's Yoga Garden
325,90066,Diana Paschal Yoga & Coaching
326,90232,LA Fitness
327,90046,Metta Pilates
328,90230,The Breath Center
329,90266,Giving Earth Healing Arts
330,90254,Beach Cities Birth
331,90291,La Doula Vita
332,90802,Sacred Healing Sessions
333,90017,Myyogini
334,90028,Ella Yoga
335,90026,Disco Gym
336,90292,"Judith S Daniels, DPT C-IAYT"
337,90019,Happy Yoga LA
338,90018,RA MA East
339,90028,Yoga Trapeze with Robyn
340,90028,Gaia Life Yoga
341,90006,Ekatala Yoga
342,,Yoga In House
343,90211,Music Meditation and Sound Bath with Nadene
344,90035,Damian Hagglund
345,90029,Meredith Grubbs Yoga
346,90046,Living Lighthouse
347,90034,Maya Mind Body - Private Yoga Training
348,90035,Linda Lack The Thinking Body The Feeling Mind
349,90028,Mind-Body-Soul Harmony
350,90039,Soulspaces Yoga with Stefani Manger
351,90046,Peaceful Pug: Yoga and Reiki by Jessica
352,90209,Krystal Spa
353,90069,yoga4men
354,90001,Sanctuary of Sounds
355,90068,Brittany Rose Yoga
356,,Sea of Light Yoga and Massage Therapy
357,90039,Voice Yoga with Kent Klineman
358,90048,Moved by Jane
359,90026,Flow Together Fitness
360,90069,Ivorie Jenkins Yoga
361,90027,"Dawn Runge, D.C"
362,90039,UpRising Yoga
363,90094,LA Fitness
364,90024,Wonder Yogis
365,90027,Breathe Deep Yoga
366,,Sacred Rose Yoga
367,90046,Michelle Mikolis Yoga
368,91602,Sarah Yoga
369,90021,DISCLOSURE FEST
370,91601,Embodied by Safyra
371,90290,C. Josephine Wilkins
372,91204,Naomi Zelin Yoga
373,90066,Find Your Balance Yoga
374,91601,Yoga 108
375,91201,Sheade Yoga
376,90024,Milena Brewster FIT
377,90024,Yoga by Feri West
378,90029,Hollywood Detox Center
379,91411,5 Lion Fitness
380,90001,Tom Widdison Slackline & Partner Acrobatics Instructor
381,90211,Monica Ferroe Yoga
382,90404,Courtnay Meletta
383,90066,Psalm Isadora Yoga
384,90094,Yoga By Jenni
385,90066,Kids Yoga At Rediscover
386,91401,Adi Shaktee
387,91604,"Cory Nakamura, CMT"
388,90232,CorePower Yoga
389,90046,Source of Yoga
390,91604,YogaWorks Studio City
391,90021,play
392,,Brock & Krista Cahill Vinyasa Flow Yoga
393,91316,LIfe Vibes Los Angeles
394,91505,AE Wellness - Alexandra Ellis
395,90005,Immanuel's Healing Center
396,90012,Salas Studio Gallery
397,91203,Mind Body Soul Studio
398,90001,Living Lēla
399,90014,Meraki Studios LA
400,91505,T5T Reiki
401,90010,Aroma Spa & Sport
402,90066,Danzenyoga
403,91602,Doreen Rivera's - The Bodyful Mind
404,91101,Kristina Nikols Wellness
405,90045,Inner Way LA
406,90034,Conscious Personal Training
407,90019,Inverted Play
408,91205,Lilia Margaryan Dance Studio
409,91107,Basia Haridass Tacik
410,90292,Sivananda Yoga Vedanta Center
411,90045,LA Fitness
412,90035,Yoga Expo
413,90212,Natalia Yoga
414,90048,Pilates Training With Robert Hanson
415,91602,Dubner Wellness Group
416,90211,Alexandra Lauterio Yoga
417,90302,Clear Gardens Yoga Studio
418,91423,Jaclyn Urban Luna Coaching
419,91505,Polish Your Star Fitness
420,90066,Yoga With Lois
421,90025,P by Paris
422,90403,Stress Away
423,90046,Ancien Wellness
424,91423,Lila Yoga
425,92705,Love and Hopes
426,90001,FitClub: Corporate Wellness and Personal Training
427,90212,BlazenFit
428,91617,Feeling Fit Fitness
429,90803,"Jenn Parr, Health & Happiness Coach"
430,90004,Amanda Star
431,90036,The Ahava Way
432,90010,Puneet Yoga
433,90036,Yoga with Fay
434,90028,Mindful Masha
435,90046,The Yoga Garage
436,90014,Embodiment Work
437,90048,Yoga Daz
438,90064,Aunt Bessi's Creative Healing Center
439,90232,WMN SPACE
440,90017,Los Angeles Therapy Institute
441,90068,Mary DeCaro
442,90001,Sara R. van Koningsveld
443,,Luminary Corporate Wellness
444,90034,Oleg Flow Yoga
445,90210,Stacey Alysson Yoga
446,90025,Arne Yoga For Seniors
447,90039,Aolani Yoga
448,90066,Mind Body & Spirit Healing
449,90064,Namaste Jenay
450,91604,Faith & Flow
451,90068,OM Mantra House
452,90802,Brain Gangster
453,,Easy Breezy Yoga
454,,Kings Road Yoga
455,90026,Divine Dance Los Angeles
456,91205,HAAS Wellness Center
457,91604,Yoga Tune Up
458,91604,Studio Hasiyat
459,90255,LA Fitness
460,90046,Skylark Yoga & Bodywork
461,90028,Temple Of Bliss
462,91423,Bahia Shortlidge
463,90210,SAFE HAVEN RECOVERY
464,90292,Angel Najarian
465,90069,Beyond Fitness
466,90069,Anusara Yoga LA
467,90292,CorePower Yoga
468,92102,Hot Yoga Beverely Hills
469,90043,Aaron J. Martin - Unify Yogic Arts
470,91423,Rose Moran Mindful Movement
471,90265,Malibu Psychic Center
